coupon_id,coupon_code,coupon_name,discount_type,discount_value,min_order_value,max_discount,start_date,end_date,usage_limit,is_active
313,SAVEBIG697,SAVEBIG,Flat,75,599,75,2025-07-17,2026-12-08,41723,0
314,HUNGRY941,HUNGRY,Percentage,10,799,300,2025-03-19,2027-06-09,7702,1
315,WELCOME551,WELCOME,Flat,125,299,125,2026-04-03,2027-06-29,27563,1
316,WEEKEND613,WEEKEND,Flat,250,799,250,2025-01-17,2026-10-20,48171,1
317,HUNGRY631,HUNGRY,Percentage,30,799,200,2024-08-12,2027-04-08,31850,0
318,TREAT277,TREAT,Flat,150,399,150,2024-12-22,2026-12-27,36300,1
319,BREAKFAST724,BREAKFAST,Flat,75,299,75,2025-04-05,2026-11-11,18784,1
320,LUNCH404,LUNCH,Flat,200,299,200,2026-05-27,2026-08-21,45735,0
321,TREAT591,TREAT,Flat,150,799,150,2026-03-17,2026-11-11,18421,1
322,FOODIE687,FOODIE,Flat,125,399,125,2025-04-23,2027-04-01,10099,1
323,SAVEBIG394,SAVEBIG,Percentage,20,799,250,2025-08-24,2026-12-28,17306,0
324,DINNER306,DINNER,Flat,150,799,150,2026-01-03,2027-06-18,18300,1
325,FOODIE730,FOODIE,Percentage,15,799,100,2025-09-14,2026-12-01,35302,1
326,LUNCH153,LUNCH,Percentage,25,799,200,2024-08-15,2026-09-08,31459,1
327,HUNGRY105,HUNGRY,Percentage,25,499,400,2026-06-06,2026-11-04,31790,1
328,FAST428,FAST,Flat,200,199,200,2024-12-10,2027-03-08,6362,1
329,HAPPY856,HAPPY,Percentage,15,299,250,2025-02-16,2026-08-09,2881,0
330,WINTER290,WINTER,Flat,50,199,50,2024-10-17,2027-03-14,20055,1
331,TREAT391,TREAT,Flat,200,599,200,2025-06-27,2026-12-07,34861,0
332,HUNGRY971,HUNGRY,Flat,100,299,100,2026-02-10,2027-05-27,7882,1
333,MEAL848,MEAL,Flat,200,399,200,2025-03-25,2027-01-11,47594,1
334,WELCOME854,WELCOME,Flat,250,399,250,2025-11-07,2027-02-09,37710,1
335,MEAL725,MEAL,Flat,250,499,250,2024-10-22,2026-12-22,34269,1
336,SUPER510,SUPER,Percentage,15,499,150,2026-06-23,2027-03-06,21707,1
337,WELCOME367,WELCOME,Flat,75,499,75,2024-12-19,2026-11-01,49898,1
338,TREAT409,TREAT,Percentage,20,399,400,2024-08-28,2027-04-27,45901,1
339,SAVEBIG783,SAVEBIG,Percentage,25,299,200,2025-06-28,2026-07-26,27069,1
340,FOODIE754,FOODIE,Flat,100,599,100,2025-09-01,2027-07-20,14973,1
341,HUNGRY589,HUNGRY,Percentage,25,599,400,2026-04-12,2027-02-20,24985,0
342,HAPPY582,HAPPY,Percentage,50,799,150,2026-01-09,2027-05-01,49962,1
343,RAINY557,RAINY,Flat,50,599,50,2026-02-21,2027-05-08,7853,1
344,HAPPY617,HAPPY,Percentage,30,299,300,2025-12-27,2026-10-10,11283,1
345,RAINY552,RAINY,Percentage,40,799,150,2025-05-03,2027-01-09,38717,0
346,SUPER622,SUPER,Flat,250,199,250,2024-09-17,2027-04-09,30216,1
347,RAINY525,RAINY,Flat,150,199,150,2025-04-07,2027-03-25,37121,0
348,FAST840,FAST,Percentage,25,199,200,2025-03-25,2027-04-09,49377,1
349,FLASH174,FLASH,Percentage,25,799,200,2026-05-14,2026-09-12,4678,1
350,SUPER583,SUPER,Percentage,20,299,250,2026-02-04,2027-07-10,9375,0
351,SPECIAL491,SPECIAL,Flat,250,499,250,2025-03-15,2027-02-07,25118,1
352,HAPPY236,HAPPY,Flat,50,299,50,2025-03-22,2027-04-10,35709,0
353,RAINY230,RAINY,Percentage,50,199,100,2025-06-07,2026-11-29,20053,0
354,HAPPY534,HAPPY,Flat,250,299,250,2025-06-02,2027-04-22,16720,0
355,SPECIAL258,SPECIAL,Flat,75,799,75,2025-03-11,2027-02-26,7895,1
356,WEEKEND729,WEEKEND,Percentage,15,199,150,2024-10-31,2026-10-08,7112,1
357,SUMMER712,SUMMER,Percentage,15,199,400,2025-06-16,2027-04-10,26862,0
358,LUNCH652,LUNCH,Percentage,50,199,500,2025-05-15,2027-04-15,9683,1
359,LUNCH935,LUNCH,Flat,150,599,150,2026-02-26,2027-07-11,44575,1
360,LUNCH409,LUNCH,Percentage,40,299,300,2024-12-07,2027-03-22,27603,1
361,BREAKFAST162,BREAKFAST,Percentage,40,499,400,2025-10-10,2026-11-19,36928,0
362,SAVEBIG452,SAVEBIG,Flat,250,599,250,2025-06-05,2027-02-23,21388,0
363,WEEKEND252,WEEKEND,Flat,125,299,125,2026-05-03,2026-07-26,49941,0
364,LUNCH969,LUNCH,Percentage,20,799,500,2025-03-18,2026-11-14,9960,0
365,SAVEBIG675,SAVEBIG,Flat,125,599,125,2025-01-04,2027-01-08,35233,1
366,FESTIVE348,FESTIVE,Flat,75,399,75,2026-03-27,2027-03-08,42882,1
367,SUMMER967,SUMMER,Flat,50,599,50,2025-11-08,2027-04-06,47986,1
368,SAVEBIG374,SAVEBIG,Flat,200,599,200,2025-04-01,2027-01-22,40013,1
369,SUPER292,SUPER,Percentage,25,399,150,2025-07-03,2027-01-13,20369,1
370,DINNER294,DINNER,Percentage,40,499,500,2025-12-31,2026-10-16,16398,1
371,FESTIVE345,FESTIVE,Flat,250,399,250,2025-08-26,2027-01-25,25447,0
372,HAPPY764,HAPPY,Flat,100,399,100,2026-04-02,2027-07-10,24069,0
373,SUMMER200,SUMMER,Flat,250,399,250,2026-04-04,2027-05-07,13812,1
374,TREAT523,TREAT,Percentage,30,299,500,2024-12-03,2027-04-07,49078,1
375,WELCOME367,WELCOME,Flat,100,299,100,2024-09-28,2026-11-13,13357,1
376,LUNCH488,LUNCH,Percentage,25,799,300,2025-08-29,2027-04-09,45382,1
377,BREAKFAST881,BREAKFAST,Flat,200,799,200,2025-11-28,2027-03-23,48970,0
378,SUMMER272,SUMMER,Flat,75,299,75,2025-04-11,2026-08-31,47706,0
379,MEAL655,MEAL,Percentage,30,199,100,2026-04-21,2027-05-13,44292,1
380,WELCOME522,WELCOME,Percentage,50,299,400,2025-01-23,2027-04-13,4954,1
381,WELCOME323,WELCOME,Flat,100,199,100,2025-03-23,2026-10-21,40990,0
382,WINTER116,WINTER,Percentage,30,499,300,2026-04-12,2026-10-11,1276,1
383,RAINY839,RAINY,Flat,150,399,150,2024-11-16,2026-08-04,1623,0
384,MEAL209,MEAL,Percentage,30,299,150,2024-08-29,2026-10-29,13078,1
385,SPECIAL373,SPECIAL,Flat,50,399,50,2025-07-29,2027-03-20,27109,0
386,FLASH349,FLASH,Percentage,20,199,400,2026-05-16,2027-05-20,43343,1
387,SUPER515,SUPER,Flat,125,599,125,2024-09-19,2027-01-18,31695,1
388,WELCOME819,WELCOME,Percentage,10,499,250,2025-06-11,2027-07-05,42764,1
389,FLASH978,FLASH,Percentage,30,299,100,2025-11-26,2027-03-06,14355,0
390,BREAKFAST147,BREAKFAST,Percentage,40,599,200,2024-12-23,2027-04-30,37430,1
391,MEAL970,MEAL,Flat,50,299,50,2026-01-16,2026-12-22,38971,1
392,FESTIVE178,FESTIVE,Flat,75,599,75,2025-08-12,2026-12-28,16259,0
393,HAPPY439,HAPPY,Flat,250,799,250,2025-01-30,2026-09-21,9671,1
394,RAINY863,RAINY,Flat,50,199,50,2025-12-16,2027-04-19,29145,1
395,SUPER448,SUPER,Flat,250,399,250,2024-07-29,2027-07-07,2441,1
396,SUMMER602,SUMMER,Percentage,20,499,300,2026-02-28,2027-06-25,28801,1
397,FLASH776,FLASH,Flat,50,599,50,2026-03-15,2027-07-04,19857,1
398,SUPER184,SUPER,Flat,75,499,75,2024-10-15,2027-05-24,47140,1
399,FESTIVE424,FESTIVE,Flat,50,199,50,2025-06-20,2026-10-18,840,1
400,SUMMER468,SUMMER,Flat,50,299,50,2024-12-08,2027-06-03,6221,1
401,WEEKEND559,WEEKEND,Flat,50,199,50,2026-01-16,2027-02-12,6373,1
402,HAPPY195,HAPPY,Flat,250,499,250,2025-07-20,2026-08-14,1308,1
403,WEEKEND497,WEEKEND,Percentage,40,299,300,2025-09-30,2026-10-30,37983,1
404,FESTIVE273,FESTIVE,Percentage,20,399,200,2026-05-14,2026-09-11,32817,1
405,SUPER271,SUPER,Flat,100,499,100,2025-07-14,2026-09-15,20144,0
406,SUPER469,SUPER,Flat,75,799,75,2026-04-08,2027-01-22,41462,0
407,GOAT731,GOAT,Percentage,25,299,100,2025-12-25,2027-02-17,20466,1
408,FESTIVE440,FESTIVE,Flat,250,399,250,2025-10-02,2027-03-14,29350,1
409,WEEKEND935,WEEKEND,Percentage,20,599,200,2025-03-28,2027-05-15,46066,1
410,WINTER421,WINTER,Percentage,25,399,200,2026-06-17,2027-01-13,48660,0
411,FLASH900,FLASH,Percentage,20,399,250,2025-11-12,2027-06-07,26251,1
412,FOODIE677,FOODIE,Percentage,30,299,300,2026-02-03,2027-07-07,45176,1
413,SUMMER825,SUMMER,Percentage,25,399,500,2025-08-21,2027-01-07,45905,1
414,WEEKEND789,WEEKEND,Flat,75,799,75,2026-05-01,2027-07-13,20346,1
415,BREAKFAST774,BREAKFAST,Percentage,40,499,250,2025-09-23,2027-01-15,5347,0
416,GOAT590,GOAT,Flat,150,599,150,2026-06-21,2026-09-25,45831,0
417,HAPPY137,HAPPY,Flat,200,599,200,2026-02-22,2027-06-25,39416,1
418,FOODIE887,FOODIE,Percentage,40,399,400,2025-07-28,2027-01-16,11401,1
419,FLASH760,FLASH,Flat,250,399,250,2025-02-11,2027-05-13,28710,1
420,WELCOME200,WELCOME,Flat,75,599,75,2025-02-02,2027-06-17,49445,1
421,SUMMER483,SUMMER,Flat,125,799,125,2025-12-02,2026-11-10,39073,1
422,SPECIAL125,SPECIAL,Flat,50,399,50,2026-03-11,2027-05-24,27761,1
423,FOODIE951,FOODIE,Percentage,20,399,200,2025-09-02,2027-01-30,30340,1
424,RAINY594,RAINY,Flat,125,199,125,2025-11-23,2026-10-26,29215,0
425,TREAT168,TREAT,Flat,50,799,50,2025-02-23,2027-01-12,8042,1
426,TREAT763,TREAT,Percentage,40,299,500,2024-09-23,2027-04-29,49028,1
427,RAINY278,RAINY,Percentage,20,499,300,2025-03-03,2026-10-25,30781,1
428,FESTIVE744,FESTIVE,Percentage,15,799,400,2025-02-21,2026-12-03,28820,0
429,WELCOME855,WELCOME,Percentage,25,499,300,2025-03-30,2027-07-07,25982,1
430,DINNER310,DINNER,Flat,250,799,250,2025-09-17,2026-08-26,4600,1
431,HAPPY291,HAPPY,Flat,100,299,100,2024-11-09,2026-09-22,30486,1
432,BREAKFAST786,BREAKFAST,Flat,150,799,150,2025-01-20,2026-12-21,21039,0
433,GOAT501,GOAT,Percentage,20,499,200,2026-01-15,2026-09-23,40959,1
434,FAST729,FAST,Percentage,40,399,150,2026-01-24,2026-10-17,8224,1
435,FAST219,FAST,Percentage,20,299,400,2024-09-12,2027-01-03,33977,0
436,WEEKEND710,WEEKEND,Percentage,30,499,250,2025-06-06,2026-12-01,12673,0
437,HAPPY810,HAPPY,Percentage,30,499,150,2025-09-19,2027-01-22,19429,1
438,MEAL422,MEAL,Flat,150,199,150,2025-06-12,2026-08-19,24029,1
439,WINTER239,WINTER,Percentage,50,599,250,2025-01-01,2027-06-14,33624,0
440,WEEKEND801,WEEKEND,Flat,125,799,125,2025-06-16,2026-12-24,29588,0
441,MEAL184,MEAL,Percentage,50,299,500,2026-03-14,2027-03-09,19642,1
442,BREAKFAST330,BREAKFAST,Flat,75,499,75,2026-01-16,2026-08-02,37570,0
443,HAPPY623,HAPPY,Percentage,30,399,100,2026-05-21,2027-07-03,36093,1
444,HAPPY942,HAPPY,Percentage,50,499,400,2026-03-11,2027-03-06,36305,1
445,WEEKEND204,WEEKEND,Percentage,20,199,500,2025-05-16,2027-01-27,29973,1
446,SPECIAL982,SPECIAL,Percentage,25,199,500,2024-07-29,2026-12-09,16028,1
447,FLASH805,FLASH,Flat,250,799,250,2025-03-13,2027-05-14,40494,0
448,MEAL730,MEAL,Percentage,50,299,150,2025-05-23,2027-06-22,4390,1
449,HAPPY387,HAPPY,Percentage,20,399,400,2026-06-17,2027-06-15,19461,1
450,RAINY795,RAINY,Percentage,15,499,500,2025-06-15,2027-02-20,4385,1
451,HUNGRY818,HUNGRY,Percentage,15,799,150,2026-02-25,2027-05-07,21608,1
452,FESTIVE601,FESTIVE,Percentage,30,399,400,2025-09-22,2027-06-01,41644,0
453,FESTIVE562,FESTIVE,Percentage,40,199,500,2025-11-05,2027-07-09,26901,1
454,SPECIAL565,SPECIAL,Flat,100,599,100,2025-01-12,2027-01-31,662,1
455,SUMMER750,SUMMER,Flat,250,199,250,2025-01-11,2026-11-08,35524,0
456,DINNER539,DINNER,Percentage,25,399,200,2025-06-28,2027-01-30,19085,1
457,HAPPY691,HAPPY,Percentage,30,499,500,2024-08-16,2026-12-24,23027,1
458,SAVEBIG201,SAVEBIG,Flat,50,199,50,2025-04-12,2027-04-11,10853,0
459,SUMMER100,SUMMER,Flat,75,799,75,2026-01-03,2027-05-31,9145,1
460,MEAL995,MEAL,Flat,50,799,50,2025-06-04,2027-05-03,24121,1
461,SUPER480,SUPER,Percentage,10,799,250,2024-11-30,2027-06-17,20521,1
462,WEEKEND771,WEEKEND,Percentage,40,199,100,2025-07-23,2027-07-18,14486,0
463,SUPER235,SUPER,Percentage,30,499,400,2024-11-01,2027-03-24,1108,1
464,TREAT936,TREAT,Percentage,50,799,250,2025-09-12,2026-08-05,9162,0
465,SUPER334,SUPER,Flat,50,799,50,2025-05-27,2027-03-12,7212,1
466,TREAT476,TREAT,Flat,75,499,75,2025-10-06,2027-04-09,49858,1
467,HUNGRY170,HUNGRY,Percentage,30,299,400,2024-08-15,2026-08-27,29342,1
468,DINNER743,DINNER,Percentage,25,799,300,2025-12-06,2027-01-08,29492,1
469,SUPER202,SUPER,Percentage,50,599,100,2024-11-07,2027-06-27,48341,0
470,SPECIAL539,SPECIAL,Flat,250,299,250,2025-07-18,2026-10-04,16738,1
471,SUPER354,SUPER,Flat,250,799,250,2024-09-02,2026-11-04,2257,1
472,DINNER630,DINNER,Percentage,40,399,250,2025-05-15,2026-11-30,42847,1
473,LUNCH606,LUNCH,Flat,50,299,50,2025-01-05,2027-01-18,33240,1
474,RAINY112,RAINY,Flat,100,299,100,2025-04-04,2026-12-04,25851,0
475,SPECIAL659,SPECIAL,Percentage,50,199,250,2026-03-08,2027-07-02,1593,1
476,WELCOME368,WELCOME,Percentage,10,499,100,2025-05-15,2026-11-11,33701,1
477,RAINY885,RAINY,Flat,125,799,125,2026-03-01,2027-06-14,26863,1
478,HAPPY650,HAPPY,Percentage,20,399,100,2025-06-17,2026-10-31,5678,1
479,HUNGRY649,HUNGRY,Flat,125,599,125,2026-05-04,2026-08-26,42069,1
480,FAST815,FAST,Flat,200,299,200,2025-07-25,2026-08-02,4294,1
481,SUPER544,SUPER,Percentage,25,599,300,2026-02-26,2027-02-20,4106,1
482,MEAL222,MEAL,Percentage,40,799,150,2024-09-03,2026-12-08,1243,1
483,WINTER455,WINTER,Flat,75,399,75,2025-01-15,2027-04-04,8818,1
484,FOODIE889,FOODIE,Percentage,20,499,500,2024-09-16,2027-05-25,18324,1
485,BREAKFAST829,BREAKFAST,Percentage,25,599,250,2025-12-13,2026-08-10,24101,1
486,WINTER979,WINTER,Percentage,20,399,150,2026-03-02,2026-08-07,7243,1
487,LUNCH858,LUNCH,Percentage,10,199,500,2025-02-02,2026-10-11,16526,1
488,WINTER472,WINTER,Flat,75,299,75,2026-05-07,2026-08-02,2817,0
489,LUNCH429,LUNCH,Percentage,25,399,400,2025-11-19,2026-09-23,18277,1
490,FLASH481,FLASH,Percentage,30,199,400,2025-01-26,2026-09-13,12253,1
491,RAINY147,RAINY,Flat,50,499,50,2025-07-27,2027-04-11,19001,1
492,TREAT188,TREAT,Flat,50,399,50,2024-10-21,2027-03-02,13651,1
493,FLASH903,FLASH,Flat,200,599,200,2025-01-10,2027-01-22,16397,0
494,SPECIAL705,SPECIAL,Flat,250,299,250,2026-01-19,2026-11-02,48502,1
495,HUNGRY106,HUNGRY,Flat,50,299,50,2026-03-12,2026-12-16,35990,1
496,WELCOME443,WELCOME,Percentage,50,499,400,2024-12-02,2027-03-18,48870,1
497,FOODIE310,FOODIE,Percentage,25,199,250,2025-11-08,2027-05-12,9830,1
498,SUPER144,SUPER,Percentage,50,499,300,2026-02-02,2026-09-08,46430,1
499,SUMMER865,SUMMER,Percentage,30,599,100,2026-03-21,2027-06-09,9249,0
500,SUPER706,SUPER,Percentage,25,299,400,2024-11-29,2026-11-23,16017,1
